Date,Open,High,Low,Close,Adj Close,Volume
6/1/2018,140.929993,144.660004,138.990005,140.429993,132.521744,43805700
7/1/2018,139.559998,146.740005,139.429993,145.089996,137.499741,43863400
8/1/2018,145.190002,150.770004,144.080002,150.070007,142.219238,48207300
9/1/2018,149.889999,151.839996,148.130005,149.649994,141.821182,41556400
10/1/2018,150.419998,150.770004,133.070007,138.559998,131.938126,102555400
11/1/2018,139.039993,144.059998,134.639999,141.350006,134.594788,65616800
12/1/2018,143.600006,144,119.349998,127.629997,121.530472,153337500
1/1/2019,125.75,138.770004,124.57,138.529999,132.684235,84377600
2/1/2019,138.699997,144.880005,137.119995,143.460007,137.406219,55106400
3/1/2019,144.380005,146.839996,139.919998,144.710007,138.603455,62211500
4/1/2019,145.759995,150.690002,145.589996,150.389999,144.822556,51257400
5/1/2019,150.800003,150.869995,140.600006,140.690002,135.481659,58560500
6/1/2019,140.690002,150.940002,139.619995,150.089996,144.533646,51269500
7/1/2019,151.850006,154.509995,150.509995,152.210007,147.120285,47958700
8/1/2019,152.289993,153.850006,143.869995,149.039993,144.056274,70309200
9/1/2019,147.990005,154.130005,147.369995,151,145.950745,54763000
10/1/2019,151.5,154.940002,144.899994,154.179993,149.707245,54488600
11/1/2019,155,160.740005,154.919998,160.020004,155.377838,44788200
12/1/2019,160.259995,164.679993,156.380005,163.619995,158.873383,58994500
1/1/2020,164.679993,169.320007,162.830002,163.520004,159.637222,69496000
2/1/2020,164.350006,172.559998,145.300003,150.440002,146.867798,106039000
3/1/2020,151.410004,159.300003,109.489998,128.910004,125.84903,269776200
4/1/2020,124.129997,148.539993,121.769997,145.839996,143.084274,132785600
5/1/2020,143.119995,155.190002,138.369995,153.710007,150.805557,87693300
6/1/2020,153.619995,164.199997,149.850006,156.529999,153.57225,103493900
7/1/2020,156.899994,166.199997,156.610001,165.520004,163.131592,61547400
8/1/2020,166.470001,178.139999,166.149994,177.279999,174.721893,62221700
9/1/2020,177.690002,181.669998,162.850006,170.309998,167.852478,71112500
10/1/2020,171.720001,180.639999,165.020004,166.990005,165.255478,62846300
11/1/2020,168.789993,188.369995,167.160004,186.699997,184.760727,80250000
12/1/2020,189.169998,194.949997,187.800003,194.639999,192.618271,84840200
1/1/2021,195.389999,202.339996,189.759995,193.990005,192.754898,95306100
2/1/2021,195.880005,208.389999,194.529999,200.080002,198.806122,77506300
3/1/2021,203.149994,209.300003,194.110001,206.690002,205.374039,102216200
4/1/2021,207.990005,219.649994,207.559998,217.100006,216.436615,83498600
5/1/2021,218.570007,218.990005,209.210007,218.089996,217.423584,79672000
6/1/2021,219.529999,223.399994,216.080002,222.820007,222.139145,69154400
