Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,191.690002,192.190002,189.580002,189.639999,187.670212,3530500
2020-12-15,191.190002,192.270004,190.380005,192.240005,190.243195,3226100
2020-12-16,192.470001,192.990005,191.889999,192.509995,190.510391,2983900
2020-12-17,193.419998,194.020004,193.210007,194.020004,192.004700,4132800
2020-12-18,194.380005,194.470001,192.210007,193.470001,191.460419,4542100
2020-12-21,191.600006,193.350006,189.820007,192.910004,190.906250,5011900
2020-12-22,193.309998,193.479996,192.210007,192.949997,190.945816,4336000
2020-12-23,193.649994,194.220001,193.160004,193.279999,191.272400,3451400
2020-12-24,192.880005,193.000000,192.240005,192.820007,191.592346,1744000
2020-12-28,194.589996,194.600006,193.800003,194.039993,192.804581,3780500
2020-12-29,194.860001,194.949997,192.820007,193.229996,191.999725,4606200
2020-12-30,193.899994,194.380005,193.610001,193.750000,192.516418,4314000
2020-12-31,193.750000,194.869995,193.250000,194.639999,193.400757,3746400
2021-01-04,195.389999,195.429993,189.759995,191.869995,190.648392,8825800
2021-01-05,191.490005,193.949997,191.419998,193.419998,192.188522,3894000
2021-01-06,192.500000,196.889999,192.460007,195.160004,193.917450,6175700
2021-01-07,196.419998,198.619995,196.399994,198.289993,197.027512,4830900
2021-01-08,199.139999,199.460007,196.979996,199.250000,197.981415,7538700
2021-01-11,197.419998,199.059998,197.220001,198.059998,196.798981,3858600
2021-01-12,198.369995,198.990005,197.339996,198.759995,197.494522,3874100
2021-01-13,198.729996,199.580002,198.050003,198.979996,197.713135,3465800
2021-01-14,199.550003,200.029999,198.520004,198.789993,197.524338,4289000
2021-01-15,197.960007,198.250000,195.979996,197.059998,195.805344,3444800
2021-01-19,198.660004,199.039993,197.830002,198.860001,197.593903,4153700
2021-01-20,200.080002,201.759995,199.970001,201.369995,200.087906,5224900
2021-01-21,201.850006,202.000000,200.779999,201.220001,199.938858,2960600
2021-01-22,200.259995,201.309998,199.960007,200.889999,199.610962,3045900
2021-01-25,201.270004,201.949997,198.350006,201.460007,200.177338,5323200
2021-01-26,201.889999,202.339996,200.679993,200.729996,199.451981,4046900
2021-01-27,199.050003,199.080002,194.649994,195.910004,194.662674,6727700
2021-01-28,196.839996,199.679993,196.740005,197.449997,196.192871,5310100
2021-01-29,196.740005,197.250000,192.820007,193.990005,192.754898,8315700
2021-02-01,195.880005,197.729996,194.529999,197.300003,196.043823,3900700
2021-02-02,199.199997,200.960007,199.050003,200.130005,198.855804,3278700
2021-02-03,200.820007,201.259995,199.589996,200.429993,199.153885,2905600
2021-02-04,201.160004,202.970001,201.029999,202.970001,201.677734,2746400
2021-02-05,204.119995,204.289993,203.160004,204.110001,202.810455,3127200
2021-02-08,205.190002,205.979996,204.779999,205.940002,204.628815,3676700
2021-02-09,205.600006,206.449997,205.250000,206.020004,204.708313,3384800
2021-02-10,207.070007,207.220001,204.449997,205.929993,204.618866,3682400
2021-02-11,206.699997,206.940002,204.820007,206.419998,205.105759,2630000
2021-02-12,205.889999,207.509995,205.800003,207.490005,206.168961,2416700
2021-02-16,208.309998,208.389999,206.520004,207.119995,205.801300,4955700
2021-02-17,206.020004,206.899994,205.039993,206.690002,205.374039,4484000
2021-02-18,205.229996,206.089996,204.009995,205.500000,204.191620,3658900
2021-02-19,206.429993,207.029999,205.649994,205.970001,204.658630,4921800
2021-02-22,204.720001,205.529999,203.910004,204.009995,202.711090,4400300
2021-02-23,202.550003,204.679993,199.360001,203.979996,202.681290,5707900
2021-02-24,203.600006,206.479996,202.779999,206.270004,204.956726,3722800
2021-02-25,205.740005,206.380005,200.000000,200.880005,199.601028,7581100
2021-02-26,201.990005,202.690002,198.550003,200.080002,198.806122,6324600
2021-03-01,203.149994,205.850006,203.070007,205.220001,203.913391,4691800
2021-03-02,205.500000,205.550003,203.169998,203.289993,201.995682,4859000
2021-03-03,203.220001,203.539993,200.179993,200.360001,199.084335,4334000
2021-03-04,200.039993,201.240005,194.520004,197.190002,195.934525,7198800
2021-03-05,199.369995,201.210007,194.110001,200.750000,199.471848,6614800
2021-03-08,201.440002,202.889999,199.570007,199.770004,198.498093,4281400
2021-03-09,202.229996,204.350006,201.710007,202.869995,201.578354,4116100
2021-03-10,204.550003,205.270004,203.610001,204.320007,203.019135,4133800
2021-03-11,206.080002,207.830002,205.710007,206.990005,205.672134,4102700
2021-03-12,206.160004,207.460007,205.550003,207.399994,206.079514,4069000
2021-03-15,207.729996,208.899994,206.389999,208.850006,207.520294,3421900
2021-03-16,209.139999,209.300003,207.360001,208.009995,206.685623,4599900
2021-03-17,207.309998,209.289993,206.360001,208.800003,207.470612,3347000
2021-03-18,207.449997,208.440002,204.770004,205.000000,203.694794,3641900
2021-03-19,205.139999,206.149994,203.570007,205.259995,203.953140,3871000
2021-03-22,205.880005,207.259995,205.380005,206.369995,205.056076,3603900
2021-03-23,206.190002,206.440002,203.639999,204.020004,202.721039,4764800
2021-03-24,205.169998,205.850006,202.330002,202.330002,201.041809,4014500
2021-03-25,200.919998,203.660004,199.500000,203.149994,202.529236,4976800
2021-03-26,204.110001,206.639999,203.240005,206.470001,205.839096,3554900
2021-03-29,205.589996,206.360001,204.240005,205.500000,204.872055,4562900
2021-03-30,205.169998,205.889999,204.289993,205.440002,204.812241,3960500
2021-03-31,206.050003,207.619995,206.000000,206.690002,206.058426,5494800
2021-04-01,207.990005,209.300003,207.559998,209.279999,208.640503,4543300
2021-04-05,210.850006,211.960007,210.559998,211.720001,211.073044,5941400
2021-04-06,211.690002,212.490005,211.410004,211.800003,211.152802,4029900
2021-04-07,211.789993,212.119995,211.089996,211.619995,210.973343,3299100
2021-04-08,212.539993,212.850006,211.770004,212.850006,212.199600,3628900
2021-04-09,212.850006,214.250000,212.619995,214.139999,213.485657,3559100
2021-04-12,214.059998,214.369995,213.330002,214.199997,213.545471,3882800
2021-04-13,214.360001,215.279999,214.000000,214.800003,214.143646,4056900
2021-04-14,215.059998,215.869995,214.039993,214.320007,213.665115,3765600
2021-04-15,215.729996,216.669998,215.460007,216.600006,215.938141,5439600
2021-04-16,217.460007,217.470001,216.320007,217.149994,216.486450,4306000
2021-04-19,216.729996,216.910004,215.000000,215.729996,215.070786,3986900
2021-04-20,215.220001,215.539993,212.919998,213.750000,213.096848,5210300
2021-04-21,213.649994,216.330002,213.250000,216.300003,215.639053,3167900
2021-04-22,216.449997,217.039993,213.880005,214.610001,213.954224,4394800
2021-04-23,215.080002,217.869995,214.970001,217.210007,216.546280,4374300
2021-04-26,217.740005,218.270004,217.449997,218.000000,217.333862,3202500
2021-04-27,218.300003,218.330002,217.350006,217.899994,217.234161,2670000
2021-04-28,218.070007,218.639999,217.619995,217.869995,217.204254,2603900
2021-04-29,219.600006,219.649994,216.940002,218.699997,218.031723,4178800
2021-04-30,217.509995,218.169998,216.750000,217.100006,216.436615,3256600
2021-05-03,218.570007,218.570007,217.300003,217.479996,216.815445,3846300
2021-05-04,216.479996,216.539993,213.809998,215.850006,215.190430,4900000
2021-05-05,216.940002,216.940002,215.279999,215.809998,215.150543,2032600
2021-05-06,215.779999,216.949997,214.080002,216.910004,216.247192,4131200
2021-05-07,217.399994,218.990005,217.100006,218.750000,218.081573,3868100
2021-05-10,218.889999,218.899994,216.050003,216.179993,215.519409,4443800
2021-05-11,213.289993,214.910004,212.020004,214.440002,213.784744,5959900
2021-05-12,212.940002,213.630005,209.210007,209.610001,208.969498,5788400
2021-05-13,210.380005,212.919998,210.330002,211.919998,211.272430,4970900
2021-05-14,213.550003,215.960007,213.500000,215.539993,214.881363,4292600
2021-05-17,214.899994,215.380005,213.740005,215.080002,214.422791,4063200
2021-05-18,215.250000,215.630005,213.339996,213.399994,212.747910,3173100
2021-05-19,210.570007,212.779999,209.750000,212.779999,212.129807,6015000
2021-05-20,213.210007,215.660004,213.179993,215.089996,214.432755,3478300
2021-05-21,216.080002,216.740005,214.710007,214.970001,214.313126,3623300
2021-05-24,216.240005,217.699997,215.919998,217.139999,216.476486,2873700
2021-05-25,217.839996,218.020004,216.199997,216.539993,215.878311,3700600
2021-05-26,216.979996,217.559998,216.479996,217.320007,216.655945,3258100
2021-05-27,218.000000,218.240005,217.589996,217.720001,217.054718,2617200
2021-05-28,218.600006,218.729996,218.029999,218.089996,217.423584,2635700
2021-06-01,219.529999,219.529999,217.809998,218.179993,217.513306,3805700
2021-06-02,218.619995,218.820007,217.889999,218.470001,217.802429,3599400
2021-06-03,217.300003,218.050003,216.080002,217.500000,216.835388,2967000
2021-06-04,218.570007,219.479996,218.460007,219.389999,218.719604,2287100
2021-06-07,219.550003,219.679993,219.029999,219.570007,218.899063,2762800
2021-06-08,220.029999,220.279999,218.660004,220.020004,219.347687,2831700
2021-06-09,220.410004,220.500000,219.350006,219.399994,218.729568,2688600
2021-06-10,220.210007,220.899994,219.190002,220.369995,219.696609,2936700
2021-06-11,220.779999,221.020004,220.130005,221.020004,220.344635,2837200
2021-06-14,221.199997,221.389999,220.380005,221.360001,220.683594,3189400
2021-06-15,221.490005,221.529999,220.169998,220.779999,220.105362,3094000
2021-06-16,220.970001,220.970001,218.380005,219.679993,219.008713,3459600
2021-06-17,219.440002,220.059998,217.949997,219.470001,218.799362,3002900
2021-06-18,217.990005,218.149994,216.529999,216.750000,216.087677,4538300
2021-06-21,217.669998,219.800003,217.080002,219.740005,219.068542,3870000
2021-06-22,219.850006,221.350006,219.179993,220.990005,220.314728,2684300
2021-06-23,221.100006,221.589996,220.809998,220.899994,220.224991,2662200
2021-06-24,221.509995,221.869995,221.289993,221.720001,221.720001,2931600
2021-06-25,222.259995,222.699997,221.910004,222.550003,222.550003,2801300
2021-06-28,222.990005,222.990005,221.860001,222.800003,222.800003,3094900
2021-06-29,223.309998,223.399994,222.470001,222.809998,222.809998,4068000
2021-06-30,222.690002,223.149994,222.460007,222.820007,222.820007,3041700
2021-07-01,223.399994,224.059998,223.100006,224.029999,224.029999,3836000
2021-07-02,224.710007,225.410004,224.309998,225.270004,225.270004,3022900
2021-07-06,225.380005,225.490005,223.162994,224.779999,224.779999,4145914
