Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,79.029999,79.300003,78.580002,79.190002,72.877243,50492300
2018-07-01,79.029999,79.379997,78.870003,78.980003,73.023331,41128800
2018-08-01,78.750000,79.519997,78.650002,79.320000,73.505684,52090500
2018-09-01,79.000000,79.180000,78.379997,78.699997,73.104218,39836100
2018-10-01,78.419998,78.550003,77.660004,77.839996,72.477173,57503500
2018-11-01,77.650002,78.169998,77.459999,78.139999,72.926056,47154800
2018-12-01,77.989998,79.260002,77.949997,79.209999,74.109352,70316900
2019-01-01,79.279999,80.089996,79.139999,80.089996,75.306023,61718800
2019-02-01,79.790001,80.120003,79.529999,79.820000,75.052132,46049200
2019-03-01,79.550003,81.309998,79.389999,81.180000,76.520081,53424600
2019-04-01,80.860001,81.050003,80.449997,80.959999,76.489021,49802600
2019-05-01,80.779999,82.239998,80.529999,82.239998,77.890244,64384200
2019-06-01,82.139999,83.129997,82.029999,83.070000,78.866295,56888300
2019-07-01,82.910004,83.220001,82.430000,83.000000,78.985191,49681900
2019-08-01,82.970001,85.300003,82.940002,85.099998,81.173195,76372500
2019-09-01,84.980003,85.180000,83.290001,84.430000,80.721825,58285300
2019-10-01,84.050003,84.980003,83.760002,84.510002,80.977188,73007400
2019-11-01,84.250000,84.440002,83.260002,84.290001,80.940857,59052300
2019-12-01,83.830002,84.430000,83.610001,83.860001,80.704620,69766400
2020-01-01,83.980003,85.580002,83.860001,85.519997,82.662460,86598400
2020-02-01,85.220001,86.870003,84.830002,86.760002,83.861023,107859600
2020-03-01,86.820000,89.320000,76.489998,85.349998,82.675049,223067200
2020-04-01,86.120003,87.860001,85.550003,87.510002,84.936714,93086600
2020-05-01,87.379997,87.940002,86.629997,87.919998,85.525024,90798800
2020-06-01,87.589996,88.360001,87.029999,88.339996,86.104790,98981800
2020-07-01,88.139999,89.470001,88.000000,89.459999,87.364395,79143600
2020-08-01,89.320000,89.589996,88.120003,88.459999,86.546516,109325800
2020-09-01,88.250000,88.889999,88.129997,88.220001,86.465393,108290000
2020-10-01,87.989998,88.239998,87.500000,87.580002,85.986855,105499500
2020-11-01,87.559998,88.500000,87.379997,88.489998,87.028267,92201500
2020-12-01,88.260002,88.300003,87.699997,88.190002,86.883026,105574500
2021-01-01,88.040001,88.099998,86.940002,87.430000,86.559120,114243800
2021-02-01,87.239998,87.370003,84.919998,85.940002,85.083977,102362500
2021-03-01,85.610001,85.750000,84.220001,84.720001,84.009682,131286300
2021-04-01,84.779999,85.559998,84.550003,85.260002,84.672256,116105500
2021-05-01,85.120003,85.599998,84.660004,85.260002,84.864578,111937200
2021-06-01,85.070000,85.989998,84.980003,85.889999,85.623222,147248000
